Transitions EW EWsig Vmin Vmax N Nsig Vel
"SiIII 1206" 1722.02 0.1 -547.83 292.65 14.37 13.16 -121.57
"HI 1215" 4785.32 0.27 -737.36 1174.34 15.63 14.18 63.89
"NV 1238" 650.58 0.09 -292.39 185.53 14.69 10.94 -89.74
"NV 1242" 413.75 0.07 -275.91 200.0 14.85 11.12 -50.58
"SiII 1260" 1156.71 0.05 -267.67 399.78 14.48 13.35 40.36
"OI 1302" 475.4 0.05 -111.11 333.85 14.97 11.03 46.36
"SiII 1304" 290.5 0.05 -177.03 200.0 14.41 10.64 12.16
"CII 1334" 583.44 0.03 -200.0 200.0 15.25 14.19 6.97
"SiIV 1393" 163.42 0.02 -127.59 200.0 13.34 9.5 -38.55
"SiIV 1402" -62.34 0.02 -152.31 177.29 nan 9.73 176.05
"SiII 1526" 801.88 0.02 -251.19 218.49 14.7 10.13 -2.48
"CIV 1548" 613.55 0.02 -267.67 200.0 14.31 9.8 -35.85
"CIV 1550" 177.41 0.02 -200.0 200.0 14.05 9.96 -32.13
"FeII 1608" 555.63 0.01 -86.39 251.45 14.74 10.17 10.4
"AlII 1670" 875.76 0.02 -160.55 300.89 13.46 8.92 20.04
