Transitions EW EWsig Vmin Vmax N Nsig Vel
"HI 1215" 1429.8 212.27 -495.91 329.68 14.67 14.12 -95.93
"SiII 1260" 1519.9 257.81 -316.43 628.8 14.23 13.62 215.18
"OI 1302" 1663.3 257.11 -567.7 527.1 15.54 14.97 53.97
"SiII 1304" -126.49 105.57 -29.27 60.46 nan 13.79 -20.79
"CII 1334" -19.42 83.11 -65.17 24.57 nan 13.6 14.58
"SiIV 1393" 120.13 233.81 -142.94 335.66 13.21 13.46 159.9
"SiIV 1402" 857.84 241.06 -65.17 305.75 14.55 14.3 71.47
"SiII 1526" -19.94 40.09 -35.26 30.55 nan 13.2 20.32
"CIV 1548" 1718.59 157.25 -663.42 200.0 14.8 13.96 -291.36
"CIV 1550" 529.79 92.57 -101.06 200.0 14.54 13.89 29.92
"FeII 1608" 21.57 95.85 -130.98 72.43 13.3 13.87 -18.77
