Transitions EW EWsig Vmin Vmax N Nsig Vel
"NV 1238" 199.79 2398.52 -144.07 103.13 14.04 15.13 -59.5
"NV 1242" 510.83 2538.9 -284.15 366.81 14.85 15.49 -71.51
"OI 1302" 395.15 2076.28 -86.39 276.17 14.85 15.59 24.66
"SiII 1304" 299.75 2079.54 -78.15 300.89 14.42 15.27 25.13
"CII 1334" 800.16 1696.04 -209.99 276.17 14.82 15.19 13.4
"SiIV 1393" 285.52 1671.9 -177.03 160.81 13.58 14.37 -35.07
"SiIV 1402" 250.33 1722.04 -144.07 202.01 13.79 14.66 2.23
"SiII 1526" 657.14 1921.74 -185.27 317.37 14.6 15.07 24.33
"CIV 1548" 660.22 2092.31 -284.15 267.93 14.33 14.85 -14.47
"CIV 1550" 364.16 1869.7 -226.47 234.97 14.31 15.05 -21.93
"FeII 1608" 677.25 2173.54 -284.15 284.41 14.83 15.34 16.93
"AlII 1670" 700.09 2002.74 -135.83 251.45 13.35 13.85 29.06
