Transitions EW EWsig Vmin Vmax N Nsig Vel
"FeII 1144" 199.45 3040.4 -251.19 218.49 14.25 15.46 -8.49
"SiII 1190" 521.1 4051.76 -200.0 200.0 14.4 15.34 -41.53
"SiII 1193" 1420.92 3920.25 -160.55 787.06 14.5 15.03 254.0
"SiIII 1206" 700.9 3054.99 -234.71 226.73 13.74 14.49 -9.26
"HI 1215" 2987.72 7280.1 -1553.13 1668.75 15.04 15.45 -572.95
"NV 1238" 1383.67 4994.48 -300.63 721.14 14.97 15.57 55.25
"NV 1242" 474.35 3221.73 -251.19 193.77 14.77 15.62 -86.04
"SiII 1260" 1120.61 3208.18 -350.07 416.26 14.08 14.55 55.22
"OI 1302" 360.86 4417.78 -94.63 342.09 14.87 15.87 44.86
"SiII 1304" 259.59 3370.2 -69.91 210.25 14.38 15.49 0.18
"CII 1334" 710.14 2978.61 -234.71 226.73 14.76 15.4 5.22
"SiIV 1393" 193.63 2577.53 -86.39 169.05 13.4 14.54 -7.43
"SiIV 1402" 570.57 4346.1 -226.47 523.38 14.16 15.06 102.0
"SiII 1526" 687.14 2574.05 -160.55 210.25 14.64 15.27 6.5
"CIV 1548" 635.51 3217.31 -200.0 259.69 14.31 15.04 -11.45
"CIV 1550" 287.51 3261.98 -226.47 202.01 14.2 15.27 -16.65
"FeII 1608" 654.4 2862.85 -177.03 259.69 14.83 15.51 15.35
"AlII 1670" 787.66 3048.62 -200.0 202.01 13.41 14.06 15.92
