Transitions EW EWsig Vmin Vmax N Nsig Vel
"SiII 1190" 486458.14 3109903.29 -242.95 490.42 14.42 15.12 -74.74
"SiII 1193" 595851.9 1971033.25 -193.51 251.45 14.14 14.7 36.99
"SiIII 1206" 47942.06 3364667.33 -168.79 333.85 13.16 14.27 319.67
"NV 1238" 704367.54 1782387.5 -193.51 202.01 14.68 15.2 -41.79
"NV 1242" 13778.15 2691639.63 -234.71 210.25 14.1 15.43 199.85
"SiII 1526" 687189.86 2077003.55 -242.95 342.09 14.63 15.1 25.89
"CIV 1548" 695538.49 1879423.1 -218.23 276.17 14.34 14.82 2.6
"CIV 1550" 369505.38 2049243.07 -200.0 267.93 14.31 15.08 -12.41
"FeII 1608" 769324.03 2173337.08 -200.0 358.57 14.88 15.35 43.34
"AlII 1670" 755855.51 2327510.63 -200.0 267.93 13.39 13.89 41.72
