Transitions EW EWsig Vmin Vmax N Nsig Vel
"NI 1200" 275.16 4374.6 -275.91 259.69 14.72 15.95 -65.6
"SiIII 1206" 331.2 2510.37 -193.51 333.85 13.24 14.14 -8.64
"HI 1215" 1212.66 2819.24 -457.19 309.13 14.57 15.01 -78.75
"NV 1238" 394.65 2614.27 -177.03 200.0 14.41 15.23 3.07
"NV 1242" 195.84 2574.63 -185.27 177.29 14.33 15.45 -7.05
"SiII 1260" 530.96 2438.55 -185.27 177.29 13.72 14.45 -47.91
"SiIV 1393" 209.23 3859.17 -144.07 300.89 13.44 14.69 41.65
"SiIV 1402" -426443.79 223169.28 -1619.05 1545.15 nan 15.64 -1564.23
"CIV 1548" 1959.33 5040.54 -1050.48 251.45 14.79 15.25 -369.84
"CIV 1550" 589.99 3293.98 -242.95 276.17 14.61 15.34 37.71
