SL,Z,Transitions,EW,EWsig,Vmin,Vmax,N,Nsig,Vel
2,2.1813,HI 1215,3479.35,986.71,-646.72,1124.9,15.02,14.75,142.63
2,2.1813,SiII 1260,1244.44,251.43,-407.75,325.61,14.14,13.65,27.95
2,2.1813,OI 1302,1027.06,450.27,-36.95,836.5,15.27,14.98,371.59
2,2.1813,SiII 1304,1734.59,375.42,-613.76,408.02,15.25,14.71,-124.18
2,2.1813,CII 1334,753.47,196.48,-168.79,325.61,14.73,14.26,18.05
2,2.1813,SiIV 1393,1224.93,306.42,-201.75,844.74,14.25,13.71,292.52
2,2.1813,SiIV 1402,208.65,205.82,-200,292.65,13.7,13.71,53.25
2,2.1813,SiII 1526,691.7,130,-168.79,218.49,14.62,14,5.6
2,2.1813,CIV 1548,731.43,136.46,-234.71,200,14.4,13.78,-25.76
2,2.1813,CIV 1550,304.21,138.95,-201.75,210.25,14.25,13.92,-57.99
2,2.1813,FeII 1608,575.21,121.11,-144.07,259.69,14.76,14.18,5.47
2,2.1813,AlII 1670,629.95,138.89,-144.07,234.97,13.26,12.71,19.28
3,2.1813,HI 1215,5002.12,771.25,-1124.64,1091.94,15.22,14.74,-49.99
2,2.2993,SiII 1260,678.79,210.96,-152.31,193.77,13.87,13.55,-16.47
2,2.2993,OI 1302,556.59,180.3,-200,200,15.08,14.79,49.96
2,2.2993,SiII 1304,98.16,128.5,-152.31,53.69,13.91,14.02,-76.7
2,2.2993,CII 1334,290.07,170.94,-308.87,144.33,14.27,14.06,-220.4
2,2.2993,SiIV 1393,126.13,191.97,-86.39,127.85,13.23,13.4,-7.66
2,2.2993,SiIV 1402,-58.27,124.6,-53.43,45.45,,13.37,8.87
2,2.2993,SiII 1526,71.55,117.21,-135.83,200,13.5,13.71,-68.94
2,2.2993,CIV 1548,1807.12,218.12,-918.64,259.69,14.75,13.91,-248.22
2,2.2993,CIV 1550,397.36,120.98,-78.15,218.49,14.42,13.97,34.08
2,2.2993,FeII 1608,42.79,107.58,-86.39,111.37,13.53,13.92,11.2
