Transitions EW EWsig Vmin Vmax N Nsig Vel
"SiII 1190" 1284.3 439.92 -457.19 498.66 14.76 14.42 -79.77
"NI 1200" 1064.36 283.48 -506.63 482.18 15.37 14.86 -173.16
"SiIII 1206" 1445.5 329.03 -547.83 226.73 14.04 13.67 -132.33
"HI 1215" 4574.39 875.86 -1091.68 1207.3 15.16 14.74 43.63
"NV 1238" 819.41 323.54 -267.67 333.85 14.8 14.6 -70.97
"NV 1242" 577.38 218.63 -259.43 185.53 14.88 14.55 -89.69
"SiII 1260" 1332.18 160.83 -341.83 391.54 14.21 13.56 23.29
"OI 1302" 593.89 217.8 -111.11 350.33 15.08 14.74 32.06
"SiII 1304" 608.22 213.27 -177.03 399.78 14.72 14.32 11.42
"CII 1334" 689.96 150.38 -226.47 202.01 14.77 14.33 -15.83
"SiIV 1393" 1336.26 176.01 -201.75 778.82 14.3 13.5 320.83
"SiIV 1402" 194.17 123.49 -200.0 200.0 13.68 13.5 -5.16
"SiII 1526" 737.49 104.11 -267.67 218.49 14.63 13.88 -16.73
"CIV 1548" 622.69 103.59 -275.91 200.0 14.29 13.57 -52.37
"CIV 1550" 278.88 99.94 -259.43 127.85 14.2 13.77 -50.23
"FeII 1608" 559.23 85.0 -200.0 200.0 14.75 14.02 -9.99
"AlII 1670" 638.69 112.23 -160.55 177.29 13.3 12.66 -9.49
