Transitions EW EWsig Vmin Vmax N Nsig Vel
"SiII 1190" 989.24 286.36 -200.0 200.0 14.74 14.54 -59.61
"SiII 1193" 1106.85 470.89 -242.95 729.38 14.39 14.14 206.61
"NI 1200" 752.29 355.83 -539.59 267.93 15.2 14.92 -176.03
"SiIII 1206" 634.17 449.08 -160.55 300.89 13.65 13.64 -35.63
"HI 1215" 2333.7 1200.01 -1025.76 820.02 14.82 14.77 -265.35
"NV 1238" 1231.76 466.35 -465.43 399.78 14.89 14.57 -123.95
"NV 1242" 439.44 245.01 -267.67 136.09 14.87 14.75 -108.31
"SiII 1260" 1137.93 211.9 -193.51 333.85 14.16 13.72 1.63
"SiII* 1264" -175.73 136.99 -94.63 200.0 nan 12.98 -27.81
"OI 1302" 1708.92 298.68 -168.79 844.74 15.52 14.9 234.98
"CII 1334" 657.27 197.73 -300.63 193.77 14.78 14.48 -37.95
"SiIV 1393" 1332.03 210.22 -111.11 787.06 14.32 13.64 265.59
"SiIV 1402" 409.99 186.05 -168.79 449.22 14.03 13.7 79.25
"SiII 1526" 702.37 130.44 -275.91 300.89 14.58 13.92 -18.44
"CIV 1548" 796.07 127.69 -300.63 202.01 14.44 13.73 -61.28
"CIV 1550" 134.13 107.12 -177.03 210.25 13.88 13.77 -51.49
"FeII 1608" 594.48 112.6 -242.95 200.0 14.76 14.11 -5.25
"AlII 1670" 720.0 143.8 -201.75 185.53 13.42 12.93 -18.74
