Transitions EW EWsig Vmin Vmax N Nsig Vel
"SiIII 1206" 770.47 373.79 -333.59 218.49 13.75 13.59 -36.76
"HI 1215" 2496.29 556.32 -564.31 671.7 14.86 14.45 -104.89
"NV 1242" 603.06 375.91 -366.55 200.0 14.92 14.75 -82.61
"SiII 1260" 1100.81 291.85 -448.95 325.61 14.08 13.66 0.63
"OI 1302" 599.28 282.57 -242.95 267.93 15.03 14.78 61.54
"SiII 1304" 1490.33 393.88 -762.08 342.09 15.15 14.66 -176.64
"CII 1334" 665.87 215.51 -168.79 251.45 14.76 14.51 -6.55
"SiIV 1393" 1790.39 256.12 -251.19 688.18 14.45 13.74 202.82
"SiIV 1402" 177.76 168.35 -168.79 226.73 13.74 13.66 39.34
"SiII 1526" 618.86 146.23 -399.51 267.93 14.49 13.9 -77.79
"CIV 1548" 416.11 123.89 -218.23 200.0 14.13 13.63 -41.65
"CIV 1550" 362.01 126.76 -242.95 234.97 14.32 13.89 33.82
"FeII 1608" 221.56 96.7 -127.59 200.0 14.25 13.93 27.37
"AlII 1670" 322.53 90.34 -86.39 177.29 12.93 12.44 3.31
